judge,iteration,metric,n,gap_K0,gap_K5,did_mean,did_dz,did_ci_lo,did_ci_hi,p,p_holm,p_holm_rubrics
claude-haiku-4-5,0,Q1Q2,96,-0.031250000000000014,-0.0007965686274509683,-0.030453431372549047,-0.03254861289787269,-0.21935355392156872,0.1640379901960784,0.8805029005760447,1.0,1.0
claude-haiku-4-5,1,Q1Q2,96,-0.0023897058823529604,-0.034742647058823524,0.03235294117647053,0.03413501766594311,-0.15558517156862747,0.22557598039215668,0.9248912771219117,1.0,1.0
claude-haiku-4-5,2,Q1Q2,96,0.09246323529411767,-0.07855392156862745,0.1710171568627451,0.1665217194832755,-0.020474877450980325,0.36514859068627453,0.12259977707568426,0.49039910830273703,0.8581984395297898
claude-haiku-4-5,3,Q1Q2,96,-0.15637254901960781,-0.23596813725490193,0.0795955882352941,0.09048706259365573,-0.09579656862745106,0.25461397058823515,0.31054754392588557,0.9316426317776567,1.0
claude-haiku-4-5,4,Q1Q2,96,0.13002450980392155,-0.2261642156862745,0.35618872549019603,0.4010672863984375,0.17839154411764707,0.5277604166666667,0.0015921539289849205,0.007960769644924603,0.012737231431879364
claude-haiku-4-5,5,Q1Q2,96,0.26537990196078437,-0.21887254901960781,0.4842524509803921,0.5248458088857059,0.3069132965686274,0.6745833333333332,1.0803554935444364e-05,6.482132961266619e-05,9.723199441899928e-05
claude-haiku-4-5,0,Q1,96,-0.020833333333333356,0.002083333333333317,-0.02291666666666667,-0.02141507470428315,-0.23958333333333334,0.19791666666666663,0.7136427479487326,1.0,1.0
claude-haiku-4-5,1,Q1,96,-0.045833333333333344,-0.01250000000000003,-0.033333333333333305,-0.03007582333535038,-0.2416666666666666,0.1791666666666667,0.5513757935588361,1.0,1.0
claude-haiku-4-5,2,Q1,96,0.10833333333333334,-0.06458333333333334,0.1729166666666667,0.13617970597821502,-0.06880208333333335,0.4124999999999999,0.14921848893290884,0.5968739557316354,0.8953109335974531
claude-haiku-4-5,3,Q1,96,-0.2104166666666667,-0.29791666666666666,0.08749999999999998,0.0774977009078957,-0.12916666666666665,0.31046874999999974,0.4687736442836611,1.0,1.0
claude-haiku-4-5,4,Q1,96,0.14791666666666667,-0.33958333333333335,0.4875,0.43091977371628376,0.26453124999999994,0.7041666666666666,0.00014784101998349176,0.0007392050999174588,0.0013305691798514258
claude-haiku-4-5,5,Q1,96,0.28750000000000003,-0.27291666666666664,0.5604166666666667,0.4727691795154936,0.32916666666666666,0.8021354166666664,7.689791118260148e-05,0.0004613874670956089,0.0004613874670956089
claude-haiku-4-5,0,Q2,96,-0.041666666666666644,-0.0036764705882352997,-0.037990196078431356,-0.040570326876220475,-0.2156862745098039,0.15013786764705875,0.8280853701760406,1.0,1.0
claude-haiku-4-5,1,Q2,96,0.04105392156862739,-0.056985294117647044,0.09803921568627443,0.10368742401249442,-0.08823529411764713,0.29595588235294107,0.5793372905115692,1.0,1.0
claude-haiku-4-5,2,Q2,96,0.07659313725490197,-0.09252450980392157,0.16911764705882357,0.17970782172918232,-0.011029411764705864,0.34989276960784305,0.08946771167022013,0.35787084668088054,0.7157416933617611
claude-haiku-4-5,3,Q2,96,-0.10232843137254899,-0.17401960784313722,0.07169117647058824,0.08938229397120295,-0.08399203431372557,0.2297947303921568,0.3099814927863298,0.9299444783589894,1.0
claude-haiku-4-5,4,Q2,96,0.1121323529411765,-0.11274509803921569,0.22487745098039216,0.2688814880768676,0.05821078431372554,0.3872549019607843,0.0456078362495552,0.228039181247776,0.1368235087486656
claude-haiku-4-5,5,Q2,96,0.24325980392156862,-0.16482843137254904,0.4080882352941177,0.4736367532449282,0.2444699754901961,0.577221200980392,4.6943612903072635e-05,0.0002816616774184358,0.000353923440031539
claude-haiku-4-5,0,WAI-SR,96,-0.10503472222222221,-0.015624999999999995,-0.08940972222222222,-0.09542176357010834,-0.2709201388888889,0.09904513888888841,0.32200787173992185,1.0,1.0
claude-haiku-4-5,1,WAI-SR,96,-0.032118055555555546,-0.06250000000000001,0.030381944444444458,0.0315644086784205,-0.15282118055555555,0.21354166666666666,0.8989485158695544,1.0,1.0
claude-haiku-4-5,2,WAI-SR,96,0.014756944444444453,-0.026041666666666685,0.04079861111111111,0.03604929025191815,-0.16671006944444441,0.2552083333333333,0.642046365807301,1.0,1.0
claude-haiku-4-5,3,WAI-SR,96,-0.2552083333333333,-0.20572916666666666,-0.049479166666666685,-0.06056895838996925,-0.2074869791666667,0.10681423611111089,0.5757961833789826,1.0,1.0
claude-haiku-4-5,4,WAI-SR,96,-0.023437499999999983,-0.1310763888888889,0.1076388888888889,0.1331966590670731,-0.050368923611111074,0.2673611111111111,0.33106611071692926,1.0,0.6621322214338585
claude-haiku-4-5,5,WAI-SR,96,0.09027777777777779,-0.040798611111111084,0.13107638888888887,0.17255716492956955,-0.006944444444444473,0.28211805555555547,0.1514256764614592,0.9085540587687553,0.45427702938437764
claude-haiku-4-5,0,CSQ-8,96,-0.045572916666666664,0.0078125,-0.053385416666666664,-0.06168822194113915,-0.22395833333333334,0.1263346354166665,0.33188883021982085,1.0,1.0
claude-haiku-4-5,1,CSQ-8,96,0.033854166666666664,-0.07291666666666667,0.10677083333333333,0.1118539107152203,-0.08209635416666666,0.28909505208333314,0.3247506259226719,1.0,1.0
claude-haiku-4-5,2,CSQ-8,96,0.08333333333333333,-0.0078125,0.09114583333333333,0.07066535752301845,-0.15107421875,0.3385742187499998,0.43065052942218374,1.0,1.0
claude-haiku-4-5,3,CSQ-8,96,-0.15755208333333334,-0.1796875,0.022135416666666668,0.026235925413303537,-0.13414713541666667,0.1927408854166665,0.7744598548767222,1.0,1.0
claude-haiku-4-5,4,CSQ-8,96,0.10546875,-0.14973958333333334,0.2552083333333333,0.27746179830730094,0.07682291666666667,0.4362304687499998,0.006301112504610926,0.037806675027665555,0.04410778753227648
claude-haiku-4-5,5,CSQ-8,96,0.11067708333333333,0.01953125,0.09114583333333333,0.1149146120762835,-0.06126302083333333,0.2513020833333333,0.3172470493790306,1.0,0.6344940987580612
claude-haiku-4-5,0,MI-SAT,96,-0.057291666666666685,0.024305555555555542,-0.08159722222222225,-0.08432929510955388,-0.27777777777777773,0.1111545138888887,0.39354697995634025,1.0,1.0
claude-haiku-4-5,1,MI-SAT,96,-0.02777777777777779,-0.055555555555555546,0.027777777777777752,0.027031911939821577,-0.1701822916666667,0.2222222222222222,0.7029312178614932,1.0,1.0
claude-haiku-4-5,2,MI-SAT,96,0.05729166666666665,-0.06423611111111112,0.12152777777777778,0.10579324724920858,-0.09383680555555554,0.3385416666666667,0.25851520412998585,1.0,1.0
claude-haiku-4-5,3,MI-SAT,96,-0.1388888888888889,-0.19444444444444442,0.055555555555555525,0.06591693316820973,-0.1024739583333334,0.22573784722222195,0.6927299094686399,1.0,1.0
claude-haiku-4-5,4,MI-SAT,96,0.09027777777777775,-0.14756944444444445,0.2378472222222222,0.27483044414646784,0.07118055555555557,0.4045138888888889,0.010605749745274526,0.06363449847164715,0.049497303762324765
claude-haiku-4-5,5,MI-SAT,96,0.10763888888888884,-0.08680555555555558,0.19444444444444442,0.27392012935576643,0.059027777777777755,0.33159722222222215,0.014602366863671787,0.07301183431835893,0.07301183431835893
claude-haiku-4-5,0,MITI,96,-0.049479166666666664,0.020833333333333332,-0.0703125,-0.09671341768771599,-0.20833333333333334,0.06770833333333333,0.3649819909923965,1.0,1.0
