iteration,K,n,gpt35,mini,offset,pearson_r,spearman_rho
1,0,96,3.6570465686274507,3.9243872549019607,0.26734068627451,0.8517362614092938,0.6974415924643812
1,5,96,3.7102941176470594,3.962745098039216,0.2524509803921564,0.7449909918004054,0.6824568990816048
2,0,96,3.5925245098039214,3.8892769607843136,0.29675245098039227,0.8339479382557695,0.6937913941462821
2,5,96,3.793504901960784,4.027696078431373,0.2341911764705893,0.6174852590031344,0.5745796096441683
3,0,96,3.681617647058823,3.8699142156862743,0.18829656862745114,0.6799404149776624,0.5706162914468629
3,5,96,3.8662990196078435,4.075183823529412,0.20888480392156827,0.8303075635307662,0.66154247598715
4,0,96,3.776654411764706,4.041911764705882,0.26525735294117636,0.7553798042156569,0.6676118011076486
4,5,96,3.7933210784313727,4.11593137254902,0.3226102941176472,0.7947621415762726,0.6454034542934847
5,0,96,3.6108455882352946,4.0423406862745095,0.43149509803921493,0.8650348319123026,0.6734963757830251
5,5,96,3.942463235294118,4.132414215686275,0.18995098039215685,0.8230025111132717,0.6065385800958362
6,0,96,3.644117647058824,4.013909313725491,0.36979166666666696,0.8671601886274566,0.7753129536906191
6,5,96,3.884375,4.107904411764706,0.22352941176470642,0.8158110105369373,0.6987685549815345
7,0,96,3.5646446078431375,3.887316176470588,0.3226715686274506,0.8155196699344475,0.7187230647316333
7,5,96,3.98235294117647,4.171384803921569,0.18903186274509887,0.5416655843337987,0.42740571203102723
