judge,arm,iteration,n,Task,Task_gain,Goal,Goal_gain,Bond,Bond_gain,bond_excess,bond_excess_gain,WAI_total,WAI_total_gain
gpt-4o-mini,PTO_LA0,0,96,2.7395833333333335,0.0,2.6171875,0.0,3.1770833333333335,0.0,0.4986979166666667,0.0,2.844618055555556,0.0
gpt-4o-mini,PTO_LA0,1,96,2.7552083333333335,0.015625,2.703125,0.0859375,3.2265625,0.049479166666666664,0.4973958333333333,-0.0013020833333333333,2.8949652777777772,0.05034722222222223
gpt-4o-mini,PTO_LA0,2,96,2.9088541666666665,0.16927083333333334,2.8151041666666665,0.19791666666666666,3.3151041666666665,0.13802083333333334,0.453125,-0.045572916666666664,3.0130208333333335,0.1684027777777778
gpt-4o-mini,PTO_LA0,3,96,3.0572916666666665,0.3177083333333333,2.9296875,0.3125,3.4322916666666665,0.2552083333333333,0.4388020833333333,-0.059895833333333336,3.1397569444444446,0.2951388888888889
gpt-4o-mini,PTO_LA0,4,96,3.1822916666666665,0.4427083333333333,3.0625,0.4453125,3.5963541666666665,0.4192708333333333,0.4739583333333333,-0.024739583333333332,3.2803819444444446,0.43576388888888884
gpt-4o-mini,PTO_LA0,5,96,3.1380208333333335,0.3984375,3.0338541666666665,0.4166666666666667,3.6197916666666665,0.4427083333333333,0.5338541666666666,0.03515625,3.263888888888889,0.4192708333333333
gpt-4o-mini,PTO_LA0,6,96,3.3255208333333335,0.5859375,3.1770833333333335,0.5598958333333334,3.7161458333333335,0.5390625,0.46484375,-0.033854166666666664,3.40625,0.5616319444444444
gpt-4o-mini,PTO_LA0,7,96,3.1927083333333335,0.453125,3.0807291666666665,0.4635416666666667,3.703125,0.5260416666666666,0.56640625,0.06770833333333333,3.3255208333333335,0.48090277777777773
gpt-4o-mini,PTO_LA0,8,96,3.2838541666666665,0.5442708333333334,3.1848958333333335,0.5677083333333334,3.8046875,0.6276041666666666,0.5703125,0.07161458333333333,3.4244791666666665,0.579861111111111
gpt-4o-mini,PTO_LA0,9,96,3.40625,0.6666666666666666,3.2578125,0.640625,3.9453125,0.7682291666666666,0.61328125,0.11458333333333333,3.5364583333333335,0.6918402777777777
gpt-4o-mini,PTO_LA0,10,96,3.3854166666666665,0.6458333333333334,3.2213541666666665,0.6041666666666666,3.8854166666666665,0.7083333333333334,0.58203125,0.08333333333333333,3.4973958333333335,0.6527777777777778
gpt-4o-mini,PTO_LA5,0,96,2.7135416666666665,0.0,2.59375,0.0,3.1510416666666665,0.0,0.4973958333333333,0.0,2.819444444444444,0.0
gpt-4o-mini,PTO_LA5,1,96,2.8020833333333335,0.08854166666666667,2.7213541666666665,0.12760416666666666,3.25,0.09895833333333333,0.48828125,-0.009114583333333334,2.9244791666666665,0.10503472222222225
gpt-4o-mini,PTO_LA5,2,96,2.9140625,0.20052083333333334,2.8151041666666665,0.22135416666666666,3.3541666666666665,0.203125,0.4895833333333333,-0.0078125,3.027777777777778,0.20833333333333334
gpt-4o-mini,PTO_LA5,3,96,3.0625,0.3489583333333333,2.9661458333333335,0.3723958333333333,3.4947916666666665,0.34375,0.48046875,-0.016927083333333332,3.1744791666666665,0.35503472222222227
gpt-4o-mini,PTO_LA5,4,96,3.2213541666666665,0.5078125,3.1015625,0.5078125,3.5729166666666665,0.421875,0.4114583333333333,-0.0859375,3.2986111111111107,0.4791666666666667
