iteration,n,mean_delta,dz,p,p_holm,ci_low,ci_high
1,96,0.2632,0.269,0.0352,0.0352,0.0814,0.4545
2,96,0.4659,0.4587,0.0,0.0,0.2651,0.6732
3,96,0.8145,0.8427,0.0,0.0,0.6185,1.0041
4,96,1.0072,1.0782,0.0,0.0,0.8208,1.1967
5,96,1.0141,1.0532,0.0,0.0,0.8221,1.2057
6,96,1.1536,1.2035,0.0,0.0,0.9693,1.3494
7,96,1.1287,1.1216,0.0,0.0,0.9314,1.3231
8,96,1.2203,1.2504,0.0,0.0,1.03,1.424
9,96,1.2381,1.31,0.0,0.0,1.0483,1.4242
10,96,1.2594,1.4288,0.0,0.0,1.0859,1.4336
